year,gini
1963,0.36726266145706177
1964,0.3737402558326721
1965,0.3682522475719452
1966,0.37096458673477173
1967,0.3688630163669586
1968,0.3632606565952301
1969,0.3601449131965637
1970,0.36592158675193787
1971,0.3691738247871399
1972,0.3666130006313324
1973,0.3611275255680084
1974,0.35476547479629517
1975,0.3564838767051697
1976,0.35560521483421326
1977,0.3550432324409485
1978,0.34790006279945374
1979,0.34758874773979187
1980,0.3471689820289612
1981,0.35487520694732666
1982,0.3666040897369385
1983,0.3729199767112732
1984,0.37344321608543396
1985,0.37640655040740967
1986,0.3755633234977722
1987,0.37196099758148193
1988,0.3770507276058197
1989,0.3823794722557068
1990,0.38262486457824707
1991,0.3804483711719513
1992,0.38372793793678284
1993,0.4036308825016022
1994,0.39985379576683044
1995,0.39853596687316895
1996,0.4030831456184387
1997,0.4052412211894989
1998,0.3995175063610077
1999,0.39984390139579773
2000,0.4013887047767639
2001,0.40594273805618286
2002,0.40352022647857666
2003,0.40770038962364197
2004,0.40545549988746643
2005,0.4126027822494507
2006,0.41693398356437683
2007,0.41088762879371643
2008,0.41092273592948914
2009,0.40849944949150085
2010,0.40241357684135437
2011,0.411632776260376
2012,0.4115574359893799
2013,0.40871450304985046
2014,0.41737040877342224
2015,0.4145592749118805
2016,0.41330069303512573
2017,0.41385841369628906
2018,0.41782599687576294
2019,0.41901838779449463
2020,0.4000106155872345
2021,0.39696449041366577
2022,0.4169909954071045
2023,0.41818878054618835
