year,unrate
1963,5.641666666666667
1964,5.158333333333333
1965,4.508333333333334
1966,3.7916666666666665
1967,3.841666666666667
1968,3.5583333333333336
1969,3.4916666666666667
1970,4.983333333333333
1971,5.95
1972,5.6000000000000005
1973,4.858333333333333
1974,5.641666666666667
1975,8.475
1976,7.7
1977,7.05
1978,6.066666666666666
1979,5.8500000000000005
1980,7.175
1981,7.616666666666667
1982,9.708333333333334
1983,9.6
1984,7.508333333333333
1985,7.191666666666666
1986,7.0
1987,6.175
1988,5.491666666666667
1989,5.258333333333334
1990,5.616666666666667
1991,6.8500000000000005
1992,7.491666666666667
1993,6.908333333333334
1994,6.1000000000000005
1995,5.591666666666666
1996,5.408333333333334
1997,4.941666666666666
1998,4.5
1999,4.216666666666667
2000,3.966666666666667
2001,4.741666666666666
2002,5.783333333333334
2003,5.991666666666667
2004,5.541666666666667
2005,5.083333333333333
2006,4.608333333333333
2007,4.616666666666666
2008,5.8
2009,9.283333333333333
2010,9.608333333333334
2011,8.933333333333334
2012,8.075
2013,7.358333333333333
2014,6.158333333333334
2015,5.2749999999999995
2016,4.875
2017,4.358333333333333
2018,3.891666666666666
2019,3.6750000000000003
2020,8.1
2021,5.3500000000000005
2022,3.65
2023,3.625
